A;;;AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA
;;;- Vidrio colado, estirado, soplado, laminado y templado, fabricado por otros procesos.
;;;- Artículos de vidrio utilizados en la construcción como bloques de vidrio, recipientes de vidrio, artículos de vidrio   para la cocina,  para  servicios  de  mesa  y  para  el  tocador,  y  para  la  oficina   y otros lugares  cristalería  de    laboratorio, higiénica y farmacéutica  vidrio para relojes, vidrio óptico y piezas de vidrio óptico  sin labrar, etc.
;;;- Piezas de vidrio utilizadas en joyas de fantasía (pero no las joyas de fantasía en sí).
;;;- Fibras de vidrio incluso lana de vidrio e hilados de fibras de vidrio. Productos no tejidos de fibras de vidrio,   como esteras, tableros y artículos similares.
;;;- Ornamentos de vidrio trabajado al soplete.
;;;Excluye: La fabricación de telas tejidas con hilados de fibras de vidrio se incluye en la clase 1911 (Preparación y elaboración de hilazas  tejidos planos).
;;;La fabricación de productos de lana de vidrio para aislamiento térmico se incluye en la clase 3099 (Fabricación de otros productos minerales no metálicos n.c.p.).
;;;La fabricación de cables de fibras ópticas compuestas de fibras recubiertas individualmente de material aislante se incluye en la clase 3530 (Fabricación de alambres y cables aislados).
;;;La fabricación de cables de fibras ópticas no aisladas individualmente y de elementos ópticos labrados se incluye en la clase 3720 (Fabricación de instrumentos de óptica y de equipo fotográfico).
;;;La fabricación de material médico de laboratorio, incluso jeringuillas, se incluye en la clase 3711 (Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos).
;;;La fabricación de juguetes de vidrio se incluye en la clase 3940 (Fabricación de juegos y juguetes).
;;3091;Fabricación de productos de cerámica no refractaria para uso no estructural
;;;Esta clase incluye la fabricación de artículos de cerámica no refractaria para uso no estructural:
;;;- Artículos de cerámica, incluso artículos de porcelana, loza, piedra y arcilla, de imitación de porcelana y de  alfarería común.
;;;- Vajilla y otros artículos utilizados habitualmente con fines domésticos y de aseo. Estatuillas y otros artículos  ornamentales de cerámica.
;;;- Artículos de cerámica para laboratorio, la industria química y la industria en general y cerámica utilizada en la  agricultura.
;;;- Artefactos higiénicos de cerámica y otros artículos de cerámica para uso no estructural.
;;;- Aisladores eléctricos de cerámica.
;;;- Accesorios aislantes de cerámica para máquinas, artefactos y equipo eléctricos.
;;;Excluye: La fabricación de artículos de cerámica refractaria y de materiales de construcción de cerámica se incluye en las clases 3192 (Fabricación de productos de cerámica refractaria) y 3193 (Fabricación de productos de cerámica no refractaria para uso estructural), respectivamente.
;;;La fabricación de dientes  postizos se incluye en la clase 3711 (Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos).
;;;La fabricación de juguetes se incluye en la clase 3940 (Fabricación de juegos y juguetes). La fabricación de joyas de fantasía se incluye en la clase 3990 (Otras industrias manufactureras n.c.p.)
;;3099;Fabricación de otros productos minerales no metálicos n.c.p.
;;;En esta clase se incluye la fabricación de:
;;;- Hilados y tela de asbesto,  y  artículos de hilados y tela de asbesto, como ropa,  calzado, cordones,   cordeles, papel y fieltro.
;;;- Materiales de fricción sobre una base de asbesto, de otras sustancias minerales y de celulosa, combinados o no   con otros materiales.
;;;- Artículos sin montar de esos materiales de fricción.
;;;- Materiales  aislantes  de  origen  mineral:  lana  de  escorias,  lana  de  roca  y  otras  lanas  minerales  similares     vermiculita  descamada,  arcillas  dilatadas  y  materiales  similares  para  aislamiento  térmico  y sonoro, y para    absorber el sonido.
;;;- Productos de lana de vidrio para aislamiento térmico
;;;- Artículos de asfalto y de materiales similares, como por ejemplo brea de alquitrán de hulla.
;;;- Muelas  de  molino,  piedras  de  amolar  y  de pulimentar, y productos abrasivos naturales y artificiales incluso   polvo abrasivo y grano abrasivo sobre una base de material textil, y sobre papel, cartón y otros materiales.
;;;- Artículos  elaborados  con  otras  sustancias  minerales  no  clasificados  en  otra parte, incluso mica labrada y    artículos de mica, de turba y de grafito (que no sean artículos eléctricos) y de otras sustancias minerales. 
;;;Esta clase incluye además el corte, tallado y acabado de la piedra para construcción, cementerios, carreteras, techos y otros usos. Obras efectuadas con la piedra en bruto extraída de canteras.
;;;Excluye: Las actividades propias de las canteras, como por ejemplo la producción de piedras en bruto  sin desbastar, se incluyen en la clase 1310 (Extracción de piedra, arena y arcilla). La fabricación de lana de vidrio se incluye en la clase 3010 (Fabricación de vidrio y de productos de vidrio).
;;;La fabricación de muelas de molino, piedras  abrasivas y artículos similares se incluye en la clase 3099 (Fabricación de otros productos minerales  no metálicos n.c.p.)
;31;;FABRICACIÓN DE PRODUCTOS PARA LA CONSTRUCCIÓN
;;3192;Fabricación de productos de cerámica refractaria
;;;Esta clase abarca la fabricación de artículos de cerámica para aislamiento térmico mediante el moldeado y la cocción de tierras silicias fósiles.
;;;- Ladrillos, bloques, losetas y otros artículos similares de cerámica refractaria para la construcción.
;;;- Productos de cerámica resistentes a las elevadas temperaturas de la metalurgia
;;;- Cementos refractarios
;;;- Retortas, crisoles, muflas, toberas, tubos, caños, etc.
;;;Excluye: La fabricación de artículos de cerámica no refractaria se incluye en las clases 3091 (Fabricación de productos de cerámica no refractaria para uso no estructural) y 3193 (Fabricación de productos de cerámica no refractaria para uso estructural).
;;3193;Fabricación  de   productos  de  cerámica  no refractaria para uso estructural
;;;En esta clase se incluye la fabricación de materiales de cerámica para la construcción, como ladrillos, bloques para pisos, tejas, etc.
;;; Fabricación  de tubos,  conductos, canalones y accesorios para tuberías de cerámica.
;;;Fabricación de baldosas y losas para pavimentos, losetas para la pared y para cañones de chimeneas,  teselas de mosaico y productos similares de cerámica, esmaltados o no.
;;;Excluye: La fabricación de productos de cerámica refractaria se incluye en la clase 3192 (Fabricación de productos de cerámica refractaria).
;;3194;Fabricación de cemento, cal y yeso
;;;Esta clase incluye la fabricación de cementos hidráulicos, incluso cemento de portland, cemento aluminoso y cemento hipersulfatado, en forma de clínica   y en otras formas.
;;;Fabricación de cal viva, cal apagada y cal hidráulica.
;;;Fabricación de yesos con yeso calcinado y con sulfato de calcio.
;;;Excluye: La fabricación de cementos dentales se incluye en la clase 2600 (Fabricación de productos farmacéuticos y productos botánicos).
;;;La fabricación de cemento refractario se incluye en la clase 3192 (Fabricación de productos de cerámica refractaria).
;;;La fabricación de artículos de cemento y de yeso se incluye en la clase 3195 (Fabricación de artículos de hormigón, cemento y yeso.
;;3195;Fabricación de artículos de hormigón, cemento y yeso
;;;Esta clase abarca la fabricación de:
;;;- Artículos de hormigón, cemento y yeso  para  su  uso  en  la  construcción,  como  losetas,  baldosas,   ladrillos,   planchas, láminas, tableros, tubos y postes.
;;;- Otros artículos de hormigón, cemento y  yeso,  como  por  ejemplo  estatuas,  muebles,  bajorrelieves,   jarrones,   macetas, etc.
;;;- Mezclas preparadas para hormigón y mortero.
;;;- Materiales  de  construcción compuestos de sustancias vegetales  (por ejemplo, lana de madera, paja, cañas   y   juncos) aglomeradas con cemento, yeso u otro aglutinante mineral.
;;;- Artículos  de  asbestocemento,   fibrocemento  de  celulosa  y  materiales  similares: láminas lisas y   onduladas,  tableros, losetas, tubos, caños, tanques de agua, cisternas, lavabos, lavaderos, cántaros, muebles,    marcos para   ventanas y otros artículos.
;32;;FABRICACIÓN  DE  METALES  COMUNES.
;;3210;Industrias básicas de hierro y de acero
;;;Esta clase incluye:
;;;Funcionamiento de altos hornos, convertidores de acero, talleres de laminado y de acabado. Fabricación de productos primarios de hierro y acero, como por ejemplo:
;;;Productos primarios de metal ferroso en granalla y en polvo, y en forma de arrabio, bloques, grumos y líquidos a partir de mineral y escorias de hierro.   
;;;- Hierro de pureza excepcional, mediante electrólisis y otros procesos químicos.
;;;- Hierro en lingotes, incluso hierro especular y ferroaleaciones, e hierro esponjoso.
;;;- Acero, mediante procesos neumáticos y de cocción.
;;;- Lingotes de acero y de acero de aleación.
;;;- Tochos, barras, palastros y otras formas de hierro, acero y acero de aleación en estado semiacabado.
;;;- Productos de hierro, acero y acero de aleación laminados, trefilados, extrusión y forjados. El tratamiento de estos productos puede ser en caliente o en frío y puede empezar en caliente y terminar en frío.
;;;Entre los productos de los talleres de laminado plano, laminado tubular y acabado se cuentan las hojas, planchas y rollos  barras y varillas  barras y varillas para barrenas  piezas en ángulos, perfiles secciones y alambre  tubos, caños y perfiles huecos de hierro y acero sin costura, incluso tubos, caños y perfiles huecos de fundición con costura abierta o soldados, remachados o unidos en forma similar  material de construcción para vías de ferrocarril, como por ejemplo carriles no ensamblados  y otros productos acabados de hierro y de acero.
;;;Excluye:  La producción de minerales de hierro sinterizados se incluye en la clase 1210 (Extracción de minerales metalíferos)
;;;Las operaciones de forja y fundición realizadas como parte de la fabricación de un determinado tipo de producto se incluye en la clase correspondiente a la fabricación del producto.
;;3220;Fabricación de productos primarios de metales preciosos y de metales no ferrosos
;;; de tubos, conductos, casnalonesEn esta clase se incluye la fabricación de metales preciosos: oro, plata y metales del grupo del platino. Refinación de dichos metales preciosos.
